"English","Code","Scientific","Family","Scientific_BT","Taxonomy"
"Abert's Towhee","ABTO","Melozone aberti","Passerellidae","Pipilo aberti","BL3"
"Acadian Flycatcher","ACFL","Empidonax virescens","Tyrannidae","Empidonax virescens","BL3"
"Acorn Woodpecker","ACWO","Melanerpes formicivorus","Picidae","Melanerpes formicivorus","BL3"
"Alder Flycatcher","ALFL","Empidonax alnorum","Tyrannidae","Empidonax alnorum","BL3"
"Allen's Hummingbird","ALHU","Selasphorus sasin","Trochilidae","Selasphorus sasin","BL3"
"American Crow","AMCR","Corvus brachyrhynchos","Corvidae","Corvus brachyrhynchos","BL3"
"American Dipper","AMDI","Cinclus mexicanus","Cinclidae","Cinclus mexicanus","BL3"
"American Goldfinch","AMGO","Spinus tristis","Fringillidae","Carduelis tristis","BL3"
"American Kestrel","AMKE","Falco sparverius","Falconidae","Falco sparverius","BL3"
"American Pipit","AMPI","Anthus rubescens","Motacillidae","Anthus rubescens","BL3"
"American Redstart","AMRE","Setophaga ruticilla","Parulidae","Setophaga ruticilla","BL3"
"American Robin","AMRO","Turdus migratorius","Turdidae","Turdus migratorius","BL3"
"American Three-toed Woodpecker","ATTW","Picoides dorsalis","Picidae","Picoides dorsalis","BL3"
"American Tree Sparrow","ATSP","Spizelloides arborea","Passerellidae","Spizella arborea","BL3"
"Anna's Hummingbird","ANHU","Calypte anna","Trochilidae","Calypte anna","BL3"
"Antillean Nighthawk","ANNI","Chordeiles gundlachii","Caprimulgidae","Chordeiles gundlachii","BL3"
"Arctic Warbler","ARWA","Phylloscopus borealis","Phylloscopidae","Phylloscopus borealis","BL3"
"Ash-throated Flycatcher","ATFL","Myiarchus cinerascens","Tyrannidae","Myiarchus cinerascens","BL3"
"Bachman's Sparrow","BACS","Peucaea aestivalis","Passerellidae","Aimophila aestivalis","BL3"
"Baird's Sparrow","BAIS","Centronyx bairdii","Passerellidae","Ammodramus bairdii","BL3"
"Bald Eagle","BAEA","Haliaeetus leucocephalus","Accipitridae","Haliaeetus leucocephalus","BL3"
"Baltimore Oriole","BAOR","Icterus galbula","Icteridae","Icterus galbula","BL3"
"Bananaquit","BANA","Coereba flaveola","Thraupidae","Coereba flaveola","BL3"
"Band-tailed Pigeon","BTPI","Patagioenas fasciata","Columbidae","Patagioenas fasciata","BL3"
"Barn Owl","BANO","Tyto alba","Tytonidae","Tyto alba","BL3"
"Barn Swallow","BARS","Hirundo rustica","Hirundinidae","Hirundo rustica","BL3"
"Barred Owl","BADO","Strix varia","Strigidae","Strix varia","BL3"
"Bay-breasted Warbler","BBWA","Setophaga castanea","Parulidae","Dendroica castanea","BL3"
"Bell's Vireo","BEVI","Vireo bellii","Vireonidae","Vireo bellii","BL3"
"Belted Kingfisher","BEKI","Megaceryle alcyon","Alcedinidae","Megaceryle alcyon","BL3"
"Bendire's Thrasher","BETH","Toxostoma bendirei","Mimidae","Toxostoma bendirei","BL3"
"Berylline Hummingbird","BEHU","Saucerottia beryllina","Trochilidae","Amazilia beryllina","BL3"
"Bewick's Wren","BEWR","Thryomanes bewickii","Troglodytidae","Thryomanes bewickii","BL3"
"Black Phoebe","BLPH","Sayornis nigricans","Tyrannidae","Sayornis nigricans","BL3"
"Black Vulture","BLVU","Coragyps atratus","Cathartidae","Coragyps atratus","BL3"
"Black-and-white Warbler","BAWW","Mniotilta varia","Parulidae","Mniotilta varia","BL3"
"Black-backed Woodpecker","BBWO","Picoides arcticus","Picidae","Picoides arcticus","BL3"
"Black-billed Cuckoo","BBCU","Coccyzus erythropthalmus","Cuculidae","Coccyzus erythropthalmus","BL3"
"Black-billed Magpie","BBMA","Pica hudsonia","Corvidae","Pica pica","BL3"
"Black-capped Chickadee","BCCH","Poecile atricapillus","Paridae","Parus atricapillus","BL3"
"Black-capped Gnatcatcher","BCGN","Polioptila nigriceps","Polioptilidae","Polioptila nigriceps","BL3"
"Black-capped Vireo","BCVI","Vireo atricapilla","Vireonidae","Vireo atricapilla","BL3"
"Black-chinned Hummingbird","BCHU","Archilochus alexandri","Trochilidae","Archilochus alexandri","BL3"
"Black-chinned Sparrow","BCSP","Spizella atrogularis","Passerellidae","Spizella atrogularis","BL3"
"Black-crested Titmouse","BCTI","Baeolophus atricristatus","Paridae","Baeolophus atricristatus","BL3"
"Black-headed Grosbeak","BHGR","Pheucticus melanocephalus","Cardinalidae","Pheucticus melanocephalus","BL3"
"Black-tailed Gnatcatcher","BTGN","Polioptila melanura","Polioptilidae","Polioptila melanura","BL3"
"Black-throated Blue Warbler","BTBW","Setophaga caerulescens","Parulidae","Dendroica caerulescens","BL3"
"Black-throated Green Warbler","BTNW","Setophaga virens","Parulidae","Dendroica virens","BL3"
"Black-throated Sparrow","BTSP","Amphispiza bilineata","Passerellidae","Amphispiza bilineata","BL3"
"Black-throated Wren","BTWR","Pheugopedius atrogularis","Troglodytidae","Thryothorus atrogularis","BL3"
"Black-whiskered Vireo","BWVI","Vireo altiloquus","Vireonidae","Vireo altiloquus","BL3"
"Blackburnian Warbler","BLBW","Setophaga fusca","Parulidae","Dendroica fusca","BL3"
"Blackpoll Warbler","BLPW","Setophaga striata","Parulidae","Dendroica striata","BL3"
"Blue Bunting","BLBU","Cyanocompsa parellina","Cardinalidae","Cyanocompsa parellina","BL3"
"Blue Grosbeak","BLGR","Passerina caerulea","Cardinalidae","Passerina caerulea","BL3"
"Blue Jay","BLJA","Cyanocitta cristata","Corvidae","Cyanocitta cristata","BL3"
"Blue-headed Vireo","BHVI","Vireo solitarius","Vireonidae","Vireo solitarius","BL3"
