"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","LANDBIRD"
"","HITI","","Highland Tinamou","Nothocercus bonapartei","NOTBON","",TRUE
"","GRTI","","Great Tinamou","Tinamus major","TINMAJ","",TRUE
"","LITI","","Little Tinamou","Crypturellus soui","CRYSOU","",TRUE
"","THTI","","Thicket Tinamou","Crypturellus cinnamomeus","CRYCIN","",TRUE
"","SBTI","","Slaty-breasted Tinamou","Crypturellus boucardi","CRYBOU","",TRUE
"","CHTI","","Choco Tinamou","Crypturellus kerriae","CRYKER","",TRUE
"","PLCH","","Plain Chachalaca","Ortalis vetula","ORTVET","",TRUE
"","GHEC","*","Gray-headed Chachalaca","Ortalis cinereiceps","ORTCIN","",TRUE
"","RBEC","*","Rufous-bellied Chachalaca","Ortalis wagleri","ORTWAG","",TRUE
"","WMCH","","West Mexican Chachalaca","Ortalis poliocephala","ORTPOL","",TRUE
"","WBCH","","White-bellied Chachalaca","Ortalis leucogastra","ORTLEU","",TRUE
"","CRGU","","Crested Guan","Penelope purpurascens","PENPUR","",TRUE
"","BLAG","*","Black Guan","Chamaepetes unicolor","CHAUNI","",TRUE
"","HIGU","","Highland Guan","Penelopina nigra","PENNIG","",TRUE
"","HOGU","","Horned Guan","Oreophasis derbianus","OREDER","",TRUE
"","GRCU","","Great Curassow","Crax rubra","CRARUB","",TRUE
"","TFQU","","Tawny-faced Quail","Rhynchortyx cinctus","RHYCIN","",TRUE
"","MOUQ","*","Mountain Quail","Oreortyx pictus","OREPIC","",TRUE
"","BCWP","","Buffy-crowned Wood-Partridge","Dendrortyx leucophrys","DENLEU","",TRUE
"","LTWP","","Long-tailed Wood-Partridge","Dendrortyx macroura","DENMAC","",TRUE
"","BEWP","","Bearded Wood-Partridge","Dendrortyx barbatus","DENBAR","",TRUE
"","BAQU","","Banded Quail","Philortyx fasciatus","PHIFAS","",TRUE
"","NOBO","","Northern Bobwhite","Colinus virginianus","COLVIR","",TRUE
"","BTBO","","Black-throated Bobwhite","Colinus nigrogularis","COLNIG","",TRUE
"","CRBO","","Crested Bobwhite","Colinus cristatus","COLCRI","",TRUE
"","SCQU","","Scaled Quail","Callipepla squamata","CALSQU","",TRUE
"","ELQU","","Elegant Quail","Callipepla douglasii","CALDOU","",TRUE
"","CAQU","","California Quail","Callipepla californica","CALCAF","*",TRUE
"","GAQU","","Gambel's Quail","Callipepla gambelii","CALGAM","",TRUE
"","MONQ","*","Montezuma Quail","Cyrtonyx montezumae","CYRMON","",TRUE
"","OCQU","","Ocellated Quail","Cyrtonyx ocellatus","CYROCE","",TRUE
"","SIQU","","Singing Quail","Dactylortyx thoracicus","DACTHO","",TRUE
"","MAWQ","","Marbled Wood-Quail","Odontophorus gujanensis","ODOGUJ","",TRUE
"","BEWQ","","Black-eared Wood-Quail","Odontophorus melanotis","ODOMEL","",TRUE
"","TAWQ","","Tacarcuna Wood-Quail","Odontophorus dialeucos","ODODIA","",TRUE
"","BBWQ","","Black-breasted Wood-Quail","Odontophorus leucolaemus","ODOLEU","",TRUE
"","SPWQ","","Spotted Wood-Quail","Odontophorus guttatus","ODOGUT","",TRUE
"","WITU","","Wild Turkey","Meleagris gallopavo","MELGAL","",TRUE
"","OCTU","","Ocellated Turkey","Meleagris ocellata","MELOCE","",TRUE
"","RUGR","","Ruffed Grouse","Bonasa umbellus","BONUMB","",TRUE
"","SPGR","","Spruce Grouse","Falcipennis canadensis","FALCAN","",TRUE
"","WIPT","","Willow Ptarmigan","Lagopus lagopus","LAGLAG","",TRUE
"","ROPT","","Rock Ptarmigan","Lagopus muta","LAGMUT","",TRUE
"","WTPT","","White-tailed Ptarmigan","Lagopus leucura","LAGLEU","",TRUE
"","GRSG","","Greater Sage-Grouse","Centrocercus urophasianus","CENURO","",TRUE
"","GUSG","","Gunnison Sage-Grouse","Centrocercus minimus","CENMIN","",TRUE
"","DUGR","","Dusky Grouse","Dendragapus obscurus","DENOBS","",TRUE
"","SOGR","","Sooty Grouse","Dendragapus fuliginosus","DENFUU","*",TRUE
"","STGR","","Sharp-tailed Grouse","Tympanuchus phasianellus","TYMPHA","",TRUE
"","GRPC","","Greater Prairie-Chicken","Tympanuchus cupido","TYMCUP","",TRUE
"","LEPC","","Lesser Prairie-Chicken","Tympanuchus pallidicinctus","TYMPAL","",TRUE
"","GRAP","*","Gray Partridge","Perdix perdix","PERPER","",TRUE
"","RNEP","*","Ring-necked Pheasant","Phasianus colchicus","PHACOL","",TRUE
"","HISN","","Himalayan Snowcock","Tetraogallus himalayensis","TETHIM","",TRUE
"","CHUK","","Chukar","Alectoris chukar","ALECHU","",TRUE
"","ROPI","","Rock Pigeon","Columba livia","COLLIV","",TRUE
"","PVPI","","Pale-vented Pigeon","Patagioenas cayennensis","PATCAY","",TRUE
"","SCPI","","Scaled Pigeon","Patagioenas speciosa","PATSPE","",TRUE
"","WCPI","","White-crowned Pigeon","Patagioenas leucocephala","PATLEU","",TRUE
"","RBPI","","Red-billed Pigeon","Patagioenas flavirostris","PATFLA","",TRUE
"","BTPI","","Band-tailed Pigeon","Patagioenas fasciata","PATFAS","",TRUE
"","RUDP","*","Ruddy Pigeon","Patagioenas subvinacea","PATSUB","",TRUE
"","SBPI","","Short-billed Pigeon","Patagioenas nigrirostris","PATNIG","",TRUE
"","EUCD","","Eurasian Collared-Dove","Streptopelia decaocto","STRDEC","",TRUE
"","SPDO","","Spotted Dove","Streptopelia chinensis","STRCHI","",TRUE
"","INDO","","Inca Dove","Columbina inca","COLINC","",TRUE
"","CGDO","","Common Ground Dove","Columbina passerina","COLPAS","",TRUE
"","PBGD","","Plain-breasted Ground Dove","Columbina minuta","COLMIN","",TRUE
"","RGDO","","Ruddy Ground Dove","Columbina talpacoti","COLTAL","",TRUE
"","BGDO","","Blue Ground Dove","Claravis pretiosa","CLAPRE","",TRUE
"","MCGD","","Maroon-chested Ground Dove","Paraclaravis mondetoura","PARMOD","*",TRUE
"","RUQD","","Ruddy Quail-Dove","Geotrygon montana","GEOMON","",TRUE
"","VIQD","","Violaceous Quail-Dove","Geotrygon violacea","GEOVIO","",TRUE
"","OBQD","","Olive-backed Quail-Dove","Leptotrygon veraguensis","LEPVEG","*",TRUE
"","WTDO","","White-tipped Dove","Leptotila verreauxi","LEPVEX","*",TRUE
"","CADO","","Caribbean Dove","Leptotila jamaicensis","LEPJAM","",TRUE
"","GCDO","","Gray-chested Dove","Leptotila cassinii","LEPCAS","",TRUE
"","GHDO","","Gray-headed Dove","Leptotila plumbeiceps","LEPPLU","",TRUE
"","TUQD","","Tuxtla Quail-Dove","Zentrygon carrikeri","ZENCAR","",TRUE
"","BFQD","","Buff-fronted Quail-Dove","Zentrygon costaricensis","ZENCOS","",TRUE
"","PBQD","","Purplish-backed Quail-Dove","Zentrygon lawrencii","ZENLAW","",TRUE
"","WFAQ","*","White-faced Quail-Dove","Zentrygon albifacies","ZENALB","",TRUE
"","CHQD","","Chiriqui Quail-Dove","Zentrygon chiriquensis","ZENCHI","",TRUE
"","RCQD","","Russet-crowned Quail-Dove","Zentrygon goldmani","ZENGOL","",TRUE
"","WWDO","","White-winged Dove","Zenaida asiatica","ZENASI","",TRUE
"","ZEND","*","Zenaida Dove","Zenaida aurita","ZENAUT","*",TRUE
"","MODO","","Mourning Dove","Zenaida macroura","ZENMAC","",TRUE
"","SODO","","Socorro Dove","Zenaida graysoni","ZENGRA","",TRUE
"","GRTA","*","Greater Ani","Crotophaga major","CROMAJ","",TRUE
"","SBAN","","Smooth-billed Ani","Crotophaga ani","CROANI","",TRUE
"","GBAN","","Groove-billed Ani","Crotophaga sulcirostris","CROSUL","",TRUE
"","STCU","","Striped Cuckoo","Tapera naevia","TAPNAE","",TRUE
"","PHCU","","Pheasant Cuckoo","Dromococcyx phasianellus","DROPHA","",TRUE
"","LEGC","","Lesser Ground-Cuckoo","Morococcyx erythropygus","MORERY","",TRUE
"","LERO","","Lesser Roadrunner","Geococcyx velox","GEOVEL","",TRUE
"","GRRO","","Greater Roadrunner","Geococcyx californianus","GEOCAL","",TRUE
"","RVGC","","Rufous-vented Ground-Cuckoo","Neomorphus geoffroyi","NEOGEO","",TRUE
"","LITC","*","Little Cuckoo","Coccycua minuta","COCMIT","*",TRUE
"","SQCU","","Squirrel Cuckoo","Piaya cayana","PIACAY","",TRUE
"","YBCU","","Yellow-billed Cuckoo","Coccyzus americanus","COCAME","",TRUE
"","MACU","","Mangrove Cuckoo","Coccyzus minor","COCMIR","*",TRUE
"","COCC","*","Cocos Cuckoo","Coccyzus ferrugineus","COCFER","",TRUE
"","BBCU","","Black-billed Cuckoo","Coccyzus erythropthalmus","COCERY","",TRUE
"","SHTN","*","Short-tailed Nighthawk","Lurocalis semitorquatus","LURSEM","",TRUE
"","LENI","","Lesser Nighthawk","Chordeiles acutipennis","CHOACU","",TRUE
"","CONI","","Common Nighthawk","Chordeiles minor","CHOMIN","",TRUE
"","ANNI","","Antillean Nighthawk","Chordeiles gundlachii","CHOGUN","",TRUE
"","COPA","","Common Pauraque","Nyctidromus albicollis","NYCALB","",TRUE
"","COPO","","Common Poorwill","Phalaenoptilus nuttallii","PHANUT","",TRUE
"","EAPO","","Eared Poorwill","Nyctiphrynus mcleodii","NYCMCL","",TRUE
"","YUPO","","Yucatan Poorwill","Nyctiphrynus yucatanicus","NYCYUC","",TRUE
"","OCPO","","Ocellated Poorwill","Nyctiphrynus ocellatus","NYCOCE","",TRUE
"","CWWI","","Chuck-will's-widow","Antrostomus carolinensis","ANTCAR","",TRUE
"","RUNI","","Rufous Nightjar","Antrostomus rufus","ANTRUF","",TRUE
"","TCNI","","Tawny-collared Nightjar","Antrostomus salvini","ANTSAL","",TRUE
"","YUNI","","Yucatan Nightjar","Antrostomus badius","ANTBAD","",TRUE
"","BCNI","","Buff-collared Nightjar","Antrostomus ridgwayi","ANTRID","",TRUE
