English,Code,Mass,Pitch,Migrant,Habitat,Mass_Citation,Pitch_Citation,Migrant_Citation,Habitat_Citation
Abert's Towhee,ABTO,45.93,1.8,0,1,Elton,BOTW,BOTW,BOTW
Acadian Flycatcher,ACFL,12.6,2.5,1,1,Elton,BOTW,BOTW,BOTW
Acorn Woodpecker,ACWO,79.62,1,0,1,Elton,BOTW,BOTW,BOTW
Alder Flycatcher,ALFL,12.7,2.9,1,0,Elton,BOTW,BOTW,BOTW
Allen's Hummingbird,ALHU,3.36,8.5,1,0,Elton,BOTW,BOTW,BOTW
American Crow,AMCR,448.76,1.6,1,0,Elton,BOTW,BOTW,BOTW
American Dipper,AMDI,56.68,3,0,0,Elton,BOTW,BOTW,BOTW
American Goldfinch,AMGO,12.79,2.9,1,0,Elton,BOTW,BOTW,BOTW
American Kestrel,AMKE,114.61,2.2,1,0,Elton,BOTW,BOTW,BOTW
American Pipit,AMPI,20.68,3.8,1,0,Elton,BOTW,BOTW,BOTW
American Redstart,AMRE,8.24,3.5,1,1,Elton,BOTW,BOTW,BOTW
American Robin,AMRO,78.5,2,1,1,Elton,BOTW,BOTW,BOTW
American Three-toed Woodpecker,ATTW,55.05,1.6,0,1,Elton,BOTW,BOTW,BOTW
American Tree Sparrow,ATSP,17.83,3.3,1,0,Elton,BOTW,BOTW,BOTW
Anna's Hummingbird,ANHU,4.24,7,1,0,Elton,BOTW,BOTW,BOTW
Antillean Nighthawk,ANNI,50,2.1,1,0,Elton,BOTW,BOTW,BOTW
Arctic Warbler,ARWA,10.89,3.6,1,1,Elton,BOTW,BOTW,BOTW
Ash-throated Flycatcher,ATFL,28.2,1.9,1,0,Elton,BOTW,BOTW,BOTW
Bachman's Sparrow,BACS,19.56,3.1,0,0,Elton,BOTW,BOTW,BOTW
Baird's Sparrow,BAIS,18.05,4.2,1,0,Elton,BOTW,BOTW,BOTW
Bald Eagle,BAEA,4700.58,3.8,1,0,Elton,BOTW,BOTW,BOTW
Baltimore Oriole,BAOR,32.83,1.8,1,1,Elton,BOTW,BOTW,BOTW
Bananaquit,BANA,10.01,6.1,0,0,Elton,BOTW,BOTW,BOTW
Band-tailed Pigeon,BTPI,366.3,0.3,1,1,Elton,BOTW,BOTW,BOTW
Barn Owl,BANO,403.32,3.5,0,0,Elton,BOTW,BOTW,BOTW
Barn Swallow,BARS,17.91,2.5,1,0,Elton,BOTW,BOTW,BOTW
Barred Owl,BADO,711.49,0.5,0,1,Elton,BOTW,BOTW,BOTW
Bay-breasted Warbler,BBWA,11.8,4,1,1,Elton,BOTW,BOTW,BOTW
Bell's Vireo,BEVI,8.5,2,1,0,BOTW,BOTW,BOTW,BOTW
Belted Kingfisher,BEKI,148,0.5,1,0,Elton,BOTW,BOTW,BOTW
Bendire's Thrasher,BETH,62.19,1.9,1,0,Elton,BOTW,BOTW,BOTW
Berylline Hummingbird,BEHU,4.5,6.2,1,1,Elton,BOTW,BOTW,BOTW
Bewick's Wren,BEWR,9.9,3.5,0,0,Elton,BOTW,BOTW,BOTW
Black-and-white Warbler,BAWW,10.9,4,1,1,Elton,BOTW,BOTW,BOTW
Black-backed Woodpecker,BBWO,69.24,1.1,0,1,Elton,BOTW,BOTW,BOTW
Black-billed Cuckoo,BBCU,50.9,0.5,1,1,Elton,BOTW,BOTW,BOTW
Black-billed Magpie,BBMA,177.12,1.9,0,0,Elton,BOTW,BOTW,BOTW
Black-capped Chickadee,BCCH,10.8,2.9,0,1,Elton,BOTW,BOTW,BOTW
Black-capped Gnatcatcher,BCGN,5.6,3.5,0,1,Elton,BOTW,BOTW,BOTW
Black-capped Vireo,BCVI,9,2.1,1,1,BOTW,BOTW,BOTW,BOTW
Black-chinned Hummingbird,BCHU,3.39,2,1,1,Elton,BOTW,BOTW,BOTW
Black-chinned Sparrow,BCSP,11.3,3.2,1,0,Elton,BOTW,BOTW,BOTW
Black-crested Titmouse,BCTI,17.5,2.3,0,1,Elton,BOTW,BOTW,BOTW
Black-headed Grosbeak,BHGR,47.13,2.2,1,1,Elton,BOTW,BOTW,BOTW
Black-tailed Gnatcatcher,BTGN,5.2,2.5,1,0,Elton,BOTW,BOTW,BOTW
Black-throated Blue Warbler,BTBW,10.14,3.1,1,1,Elton,BOTW,BOTW,BOTW
Black-throated Green Warbler,BTNW,8.69,3.9,1,1,Elton,BOTW,BOTW,BOTW
Black-throated Sparrow,BTSP,13.5,3.2,1,0,Elton,BOTW,BOTW,BOTW
Black-throated Wren,BTWR,24.18,2,0,1,Elton,BOTW,BOTW,BOTW
Black-whiskered Vireo,BWVI,18.97,1.8,1,1,Elton,BOTW,BOTW,BOTW
Black Phoebe,BLPH,18.63,3.8,0,0,Elton,BOTW,BOTW,BOTW
